PMC,X,Y,Z
632,-0.1396,0.13205,0.24553
633,-0.13947,0.13205,0.24553
634,-0.13934,0.13205,0.24553
635,-0.13921,0.13205,0.24553
636,-0.13909,0.13205,0.24553
637,-0.13896,0.13205,0.24553
638,-0.13884,0.13205,0.24552
639,-0.13871,0.13205,0.24552
640,-0.13859,0.13205,0.24552
641,-0.13845,0.13205,0.24552
642,-0.13833,0.13205,0.24552
643,-0.1382,0.13205,0.24551
644,-0.13808,0.13205,0.24551
645,-0.13795,0.13205,0.2455
646,-0.13783,0.13205,0.2455
647,-0.1377,0.13205,0.24549
648,-0.13758,0.13205,0.24549
649,-0.13744,0.13205,0.24548
650,-0.13732,0.13205,0.24548
651,-0.13719,0.13205,0.24548
652,-0.13707,0.13205,0.24548
653,-0.13694,0.13205,0.24549
654,-0.13682,0.13205,0.2455
655,-0.13669,0.13205,0.24551
656,-0.13656,0.13205,0.24552
657,-0.13643,0.13205,0.24553
658,-0.13631,0.13205,0.24553
659,-0.13618,0.13205,0.24554
660,-0.13606,0.13205,0.24555
661,-0.13593,0.13205,0.24556
662,-0.13581,0.13205,0.24557
663,-0.13568,0.13205,0.24556
664,-0.13555,0.13205,0.24555
665,-0.13542,0.13205,0.24554
666,-0.1353,0.13205,0.24553
667,-0.13517,0.13205,0.24552
668,-0.13505,0.13205,0.24551
669,-0.13492,0.13205,0.2455
670,-0.1348,0.13205,0.2455
671,-0.13467,0.13205,0.2455
672,-0.13453,0.13205,0.24551
673,-0.13441,0.13205,0.24551
674,-0.13429,0.13205,0.24552
675,-0.13416,0.13205,0.24552
676,-0.13404,0.13205,0.24553
677,-0.13391,0.13205,0.24552
678,-0.13379,0.13205,0.24552
679,-0.13366,0.13205,0.24551
680,-0.13353,0.13205,0.2455
681,-0.1334,0.13205,0.24549
682,-0.13328,0.13205,0.24548
683,-0.13315,0.13205,0.24548
684,-0.13303,0.13205,0.24548
685,-0.1329,0.13205,0.24549
686,-0.13278,0.13205,0.24549
687,-0.13265,0.13205,0.2455
688,-0.13252,0.13205,0.2455
689,-0.13239,0.13205,0.24551
690,-0.13227,0.13205,0.24551
691,-0.13214,0.13205,0.24552
692,-0.13202,0.13205,0.24552
693,-0.13189,0.13205,0.24553
694,-0.13177,0.13205,0.24553
695,-0.13163,0.13205,0.24553
696,-0.13151,0.13205,0.24554
697,-0.13138,0.13205,0.24554
698,-0.13126,0.13205,0.24554
699,-0.13113,0.13205,0.24555
700,-0.131,0.13205,0.24555
701,-0.13088,0.13205,0.24556
702,-0.13076,0.13205,0.24556
703,-0.13062,0.13205,0.24557
704,-0.1305,0.13205,0.24556
705,-0.13037,0.13205,0.24552
706,-0.13025,0.13205,0.24549
707,-0.13012,0.13205,0.24547
708,-0.13,0.13205,0.24545
709,-0.12987,0.13205,0.24543
710,-0.12975,0.13205,0.24541
711,-0.12962,0.13205,0.24539
712,-0.1295,0.13205,0.24538
713,-0.12937,0.13205,0.24538
714,-0.12936,0.13192,0.24539
715,-0.1295,0.13192,0.24539
716,-0.12962,0.13192,0.2454
717,-0.12975,0.13192,0.24542
718,-0.12987,0.13192,0.24543
719,-0.13,0.13192,0.24546
720,-0.13012,0.13192,0.24547
721,-0.13025,0.13192,0.2455
722,-0.13037,0.13192,0.24552
723,-0.1305,0.13192,0.24554
724,-0.13062,0.13192,0.24557
725,-0.13075,0.13192,0.24556
726,-0.13088,0.13192,0.24556
727,-0.131,0.13192,0.24555
728,-0.13113,0.13192,0.24555
729,-0.13126,0.13192,0.24555
730,-0.13138,0.13192,0.24554
731,-0.13151,0.13192,0.24554
732,-0.13163,0.13193,0.24554
733,-0.13176,0.13193,0.24553
734,-0.13189,0.13193,0.24553
735,-0.13202,0.13193,0.24553
736,-0.13214,0.13193,0.24552
737,-0.13227,0.13193,0.24552
738,-0.13239,0.13193,0.24552
739,-0.13252,0.13193,0.24551
740,-0.13264,0.13193,0.2455
741,-0.13277,0.13193,0.2455
742,-0.13289,0.13193,0.24549
743,-0.13303,0.13193,0.24549
744,-0.13315,0.13193,0.24548
745,-0.13328,0.13193,0.24549
746,-0.1334,0.13193,0.2455
747,-0.13353,0.13193,0.2455
748,-0.13365,0.13193,0.24551
749,-0.13378,0.13193,0.24552
750,-0.1339,0.13193,0.24553
751,-0.13404,0.13193,0.24552
752,-0.13416,0.13193,0.24552
753,-0.13429,0.13193,0.24551
754,-0.13441,0.13193,0.24551
755,-0.13453,0.13193,0.2455
756,-0.13466,0.13193,0.2455
757,-0.13479,0.13193,0.24549
758,-0.13491,0.13193,0.24549
759,-0.13505,0.13193,0.2455
760,-0.13517,0.13193,0.24551
761,-0.1353,0.13193,0.24552
762,-0.13542,0.13193,0.24553
763,-0.13555,0.13193,0.24554
764,-0.13567,0.13193,0.24555
765,-0.1358,0.13193,0.24555
766,-0.13592,0.13193,0.24555
767,-0.13605,0.13194,0.24555
768,-0.13618,0.13193,0.24554
769,-0.13631,0.13193,0.24554
